,Recipe_ID,RECIPE_NM_KO,Ingredient,TF-IDF Value,SCORE,TF-IDF_WEIGHT
0,0,나물비빔밥,간장,0.06770574580602882,3,0.20311723741808646
1,0,나물비빔밥,계란,0.15638258142126193,1,0.15638258142126193
2,0,나물비빔밥,고사리,0.3602045281352574,5,1.8010226406762868
3,0,나물비빔밥,고추장,0.1807634095712631,3,0.5422902287137893
4,0,나물비빔밥,다진마늘,0.08569907906462354,2,0.17139815812924708
5,0,나물비빔밥,다진파,0.13888049098447108,2,0.27776098196894217
6,0,나물비빔밥,도라지,0.3425262456708619,4,1.3701049826834475
7,0,나물비빔밥,돼지고기,0.20739314055538371,4,0.8295725622215349
8,0,나물비빔밥,묵,0.49270770707370287,1,0.49270770707370287
9,0,나물비빔밥,미나리,0.23102612054343605,4,0.9241044821737442
10,0,나물비빔밥,설탕,0.08105025079618391,2,0.16210050159236783
11,0,나물비빔밥,소금,0.04236211042851294,2,0.08472422085702588
12,0,나물비빔밥,쇠고기,0.15446737589688056,1,0.15446737589688056
13,0,나물비빔밥,숙주,0.3509226897875913,5,1.7546134489379563
14,0,나물비빔밥,쌀,0.2991410449040983,5,1.4957052245204916
15,0,나물비빔밥,참기름,0.08701070603916153,3,0.2610321181174846
16,0,나물비빔밥,콩나물,0.27020115573263875,5,1.3510057786631937
17,1,오곡밥,소금,0.0419847462528638,5,0.209923731264319
18,1,오곡밥,멥쌀,0.34779664979079405,3,1.0433899493723822
19,1,오곡밥,수수,0.4883186377890267,5,2.4415931889451334
20,1,오곡밥,차조,0.5488381639137362,5,2.744190819568681
21,1,오곡밥,찹쌀,0.31841884824222977,5,1.5920942412111487
22,1,오곡밥,콩,0.34779664979079405,1,0.34779664979079405
23,1,오곡밥,팥,0.33947500169297024,1,0.33947500169297024
24,2,잡채밥,간장,0.09361964960921705,3,0.28085894882765117
25,2,잡채밥,다진마늘,0.11849980615896606,1,0.11849980615896606
26,2,잡채밥,다진파,0.19203603399882285,3,0.5761081019964686
27,2,잡채밥,돼지고기,0.2867714241827498,2,0.5735428483654996
28,2,잡채밥,소금,0.058575913872751365,1,0.058575913872751365
29,2,잡채밥,참기름,0.12031344924512359,5,0.601567246225618
30,2,잡채밥,고추,0.17185544092183974,4,0.687421763687359
31,2,잡채밥,당근,0.21099680345365432,5,1.0549840172682716
32,2,잡채밥,당면,0.5286839521742781,1,0.5286839521742781
33,2,잡채밥,밥,0.3020180610977451,3,0.9060541832932353
34,2,잡채밥,부추,0.3891906792244641,3,1.1675720376733922
35,2,잡채밥,표고버섯,0.26496082314840325,1,0.26496082314840325
36,2,잡채밥,호박,0.4008008039902944,1,0.4008008039902944
37,2,잡채밥,후춧가루,0.11437011880009233,2,0.22874023760018466
38,3,콩나물밥,간장,0.11266841322270883,3,0.3380052396681265
39,3,콩나물밥,소금,0.07049433849262349,2,0.14098867698524697
40,3,콩나물밥,쇠고기,0.2570475212965978,2,0.5140950425931956
41,3,콩나물밥,쌀,0.497797438871528,3,1.493392316614584
42,3,콩나물밥,참기름,0.14479359271671982,3,0.43438077815015946
43,3,콩나물밥,콩나물,0.449638876359998,4,1.798555505439992
44,3,콩나물밥,후춧가루,0.13764097450788215,5,0.6882048725394108
45,3,콩나물밥,고춧가루,0.21725723230801544,3,0.6517716969240464
46,3,콩나물밥,깨소금,0.20460157040555477,5,1.023007852027774
47,3,콩나물밥,마늘,0.24937039593439264,1,0.24937039593439264
48,3,콩나물밥,파,0.5245257048896427,2,1.0490514097792853
49,4,약식,간장,0.08470908597194327,3,0.2541272579158298
50,4,약식,설탕,0.10140487459382147,3,0.3042146237814644
51,4,약식,찹쌀,0.401965973600693,1,0.401965973600693
52,4,약식,계피,0.4783646867260712,3,1.4350940601782136
53,4,약식,대추,0.3742660861179351,1,0.3742660861179351
54,4,약식,물엿,0.3295757038362357,3,0.9887271115087071
55,4,약식,밤,0.3742660861179351,3,1.1227982583538054
56,4,약식,식용유,0.1874876702692958,1,0.1874876702692958
57,4,약식,잣,0.4101341575934519,5,2.0506707879672597
58,5,호박죽,설탕,0.14488799057689233,3,0.434663971730677
59,5,호박죽,소금,0.07572784780170772,2,0.15145569560341543
60,5,호박죽,찹쌀,0.574331780681844,4,2.297327122727376
61,5,호박죽,팥,0.612310745094385,1,0.612310745094385
62,5,호박죽,호박,0.5181614810024893,5,2.5908074050124466
63,6,흑임자죽,설탕,0.1388755217422835,3,0.4166265652268505
64,6,흑임자죽,소금,0.07258534218059391,2,0.14517068436118782
65,6,흑임자죽,쌀,0.512563110878671,5,2.562815554393355
66,6,흑임자죽,흑임자,0.8442298353693228,5,4.221149176846614
67,7,카레라이스,소금,0.053475472005547,1,0.053475472005547
68,7,카레라이스,쇠고기,0.1949906591524341,1,0.1949906591524341
69,7,카레라이스,당근,0.19262445791041338,5,0.9631222895520669
70,7,카레라이스,밥,0.2757201263045944,2,0.5514402526091888
71,7,카레라이스,후춧가루,0.10441144972064177,1,0.10441144972064177
72,7,카레라이스,감자,0.3171643247152669,1,0.3171643247152669
73,7,카레라이스,양파,0.15272573920960889,1,0.15272573920960889
74,7,카레라이스,완두콩,0.4997919761395452,2,0.9995839522790904
75,7,카레라이스,우유,0.4055663002620723,5,2.0278315013103616
76,7,카레라이스,카레가루,0.5448826409958983,2,1.0897652819917967
77,8,오므라이스,계란,0.18226701535655376,5,0.9113350767827688
78,8,오므라이스,소금,0.049373883982708124,2,0.09874776796541625
79,8,오므라이스,당근,0.17785009239589805,1,0.17785009239589805
