,Unnamed: 0,Ingredient,Similar Ingredient,Word2Vec Value
672,672,녹말가루,간장,0.9734482169151306
454,454,오이,대파,0.9733666181564332
582,582,다진생강,간장,0.9733099937438964
652,652,청주,설탕,0.9732274413108826
1031,1031,통깨,다진마늘,0.9731379747390748
254,254,돼지고기,참기름,0.9731290340423584
703,703,육수,후춧가루,0.9731240272521972
201,201,진간장,다진마늘,0.9731018543243408
583,583,다진생강,홍고추,0.9730160236358644
704,704,육수,소금,0.9729246497154236
584,584,다진생강,후춧가루,0.9728899598121644
1531,1531,굴소스,설탕,0.9728313088417052
673,673,녹말가루,설탕,0.972768783569336
1341,1341,맛술,설탕,0.9727663993835448
1032,1032,통깨,간장,0.9727577567100524
694,694,김치,간장,0.9726415872573853
1090,1090,된장,간장,0.9726345539093018
202,202,진간장,참기름,0.9725762605667114
463,463,다시마,대파,0.9725024700164796
653,653,청주,후춧가루,0.9724867343902588
1091,1091,된장,다진마늘,0.972485601902008
464,464,다시마,고춧가루,0.9723907113075256
203,203,진간장,설탕,0.9722942113876344
1463,1463,마요네즈,설탕,0.9722797870635986
1342,1342,맛술,대파,0.972235143184662
654,654,청주,소금,0.9722232818603516
632,632,새우,참기름,0.9720901250839232
674,674,녹말가루,참기름,0.972071409225464
204,204,진간장,간장,0.9720645546913148
633,633,새우,홍고추,0.9720581769943236
1532,1532,굴소스,간장,0.9720258116722108
1092,1092,된장,홍고추,0.9720255136489868
230,230,호박,다진마늘,0.9719796776771544
1033,1033,통깨,대파,0.9719642996788024
1093,1093,된장,참기름,0.9718550443649292
1343,1343,맛술,소금,0.9716356992721558
1034,1034,통깨,후춧가루,0.97155100107193
1464,1464,마요네즈,소금,0.9713960886001588
1094,1094,된장,소금,0.971368670463562
510,510,밀가루,간장,0.9712972640991212
1344,1344,맛술,후춧가루,0.971242368221283
860,860,느타리버섯,다진마늘,0.9711872339248656
511,511,밀가루,다진마늘,0.9709449410438538
634,634,새우,소금,0.9705254435539246
1533,1533,굴소스,소금,0.9704300165176392
1260,1260,후추,다진마늘,0.9703981280326844
680,680,두부,간장,0.9703531265258788
681,681,두부,설탕,0.9700988531112672
861,861,느타리버섯,간장,0.9699439406394958
1534,1534,굴소스,후춧가루,0.9698334336280824
231,231,호박,소금,0.9698026180267334
232,232,호박,간장,0.9697298407554626
1261,1261,후추,간장,0.9695441126823424
790,790,올리브유,다진마늘,0.969509482383728
512,512,밀가루,설탕,0.9693909883499146
1220,1220,팽이버섯,다진마늘,0.9692888259887696
233,233,호박,설탕,0.9691983461380004
890,890,토마토케첩,설탕,0.96918785572052
891,891,토마토케첩,다진마늘,0.9691441059112548
1262,1262,후추,후춧가루,0.969020664691925
513,513,밀가루,홍고추,0.9687842726707458
862,862,느타리버섯,홍고추,0.9687821865081788
892,892,토마토케첩,간장,0.9686765670776368
514,514,밀가루,소금,0.9685864448547364
234,234,호박,후춧가루,0.9684540033340454
1380,1380,가지,설탕,0.9684536457061768
1381,1381,가지,간장,0.9684423208236694
791,791,올리브유,무,0.9683981537818908
893,893,토마토케첩,후춧가루,0.9683881998062134
350,350,물엿,소금,0.9682424664497375
1221,1221,팽이버섯,간장,0.9680963158607484
1222,1222,팽이버섯,소금,0.9680518507957458
1263,1263,후추,참기름,0.9680036902427672
1480,1480,시금치,간장,0.9677664637565612
863,863,느타리버섯,참기름,0.9677615165710448
1223,1223,팽이버섯,후춧가루,0.9676891565322876
682,682,두부,다진마늘,0.9676169753074646
792,792,올리브유,설탕,0.967474639415741
894,894,토마토케첩,깨소금,0.9672565460205078
864,864,느타리버섯,후춧가루,0.9672065973281859
683,683,두부,후춧가루,0.9672037363052368
351,351,물엿,다진마늘,0.9671539664268494
1481,1481,시금치,소금,0.9669827222824096
1382,1382,가지,소금,0.9669677019119264
290,290,쇠고기,다진마늘,0.9668927788734436
1224,1224,팽이버섯,대파,0.9667987227439879
1264,1264,후추,소금,0.9667140245437622
360,360,대추,간장,0.96647310256958
1482,1482,시금치,다진마늘,0.9663952589035034
684,684,두부,소금,0.9662462472915648
0,0,다진파,다진마늘,0.966073989868164
980,980,양배추,다진마늘,0.9660478234291076
793,793,올리브유,간장,0.9658902287483216
352,352,물엿,설탕,0.9658870697021484
794,794,올리브유,소금,0.9658651351928712
981,981,양배추,간장,0.96576988697052
20,20,국간장,다진마늘,0.9657437205314636
982,982,양배추,설탕,0.9655624628067015
1383,1383,가지,홍고추,0.9655203819274902
361,361,대추,설탕,0.9654915332794191
983,983,양배추,후춧가루,0.9653412103652954
1384,1384,가지,다진마늘,0.9652509689331056
353,353,물엿,간장,0.965110957622528
940,940,토마토,간장,0.9650899171829224
354,354,물엿,홍고추,0.9649764895439148
21,21,국간장,설탕,0.9648957848548888
291,291,쇠고기,설탕,0.9647663831710817
80,80,콩나물,설탕,0.964743435382843
1,1,다진파,참기름,0.9646645188331604
1483,1483,시금치,고춧가루,0.964644193649292
81,81,콩나물,간장,0.9644324779510498
941,941,토마토,다진마늘,0.9643280506134032
1484,1484,시금치,설탕,0.9641172289848328
480,480,멸치,설탕,0.9640119671821594
362,362,대추,다진마늘,0.964008927345276
22,22,국간장,간장,0.9639919996261596
2,2,다진파,홍고추,0.9639742374420166
481,481,멸치,홍고추,0.9635232090950012
3,3,다진파,소금,0.9635024666786194
984,984,양배추,홍고추,0.9634635448455809
292,292,쇠고기,간장,0.9633914828300476
482,482,멸치,간장,0.9632296562194824
23,23,국간장,참기름,0.963226079940796
483,483,멸치,다진마늘,0.96305251121521
82,82,콩나물,후춧가루,0.9627110362052916
484,484,멸치,후춧가루,0.9626505374908448
160,160,찹쌀,소금,0.9626020193099976
293,293,쇠고기,홍고추,0.9625836610794068
24,24,국간장,홍고추,0.9625455737113952
4,4,다진파,후춧가루,0.962543249130249
294,294,쇠고기,무,0.962433695793152
83,83,콩나물,다진마늘,0.962393283843994
84,84,콩나물,표고버섯,0.9623582363128662
363,363,대추,소금,0.9623018503189088
770,770,양송이버섯,간장,0.9623012542724608
960,960,닭,설탕,0.9619795680046082
