,RECIPE_ID,RECIPE_NM_KO,Ingredient,TF-IDF Value,TF-IDF_WEIGHT,SCORE
92,10,감자수제비,멸치,0.37756463,0.75512926,2
93,10,감자수제비,밀가루,0.269281758,1.34640879,5
94,10,감자수제비,소금,0.056826112000000005,0.170478336,3
95,10,감자수제비,실파,0.265060765,0.265060765,1
96,10,감자수제비,애호박,0.41519797399999997,0.41519797399999997,1
97,10,감자수제비,양념장,0.61302053,1.83906159,3
98,10,감자수제비,참기름,0.116719401,0.233438802,2
99,11,냉면,계란,0.14702790400000001,0.14702790400000001,1
100,11,냉면,냉면,0.429651221,2.148256105,5
101,11,냉면,동치미국물,0.46323433700000005,2.3161716850000005,5
102,11,냉면,동치미무,0.46323433700000005,0.46323433700000005,1
103,11,냉면,배,0.296347667,0.296347667,1
104,11,냉면,설탕,0.076201891,0.152403782,2
105,11,냉면,소금,0.039828044,0.079656088,2
106,11,냉면,쇠고기,0.145227264,0.145227264,1
107,11,냉면,쇠고기육수,0.429651221,2.148256105,5
108,11,냉면,식초,0.16758366800000002,0.5027510040000001,3
109,11,냉면,오이,0.188733053,0.188733053,1
110,12,동치미막국수,간장,0.078815654,0.157631308,2
111,12,동치미막국수,계란,0.18204356600000002,0.18204356600000002,1
112,12,동치미막국수,고추,0.14468008599999999,0.14468008599999999,1
113,12,동치미막국수,국수,0.44508360799999996,2.2254180399999997,5
114,12,동치미막국수,깨소금,0.143126242,0.286252484,2
115,12,동치미막국수,동치미국물,0.573556641,0.573556641,1
116,12,동치미막국수,동치미무,0.573556641,2.8677832050000003,5
117,12,동치미막국수,설탕,0.094349873,0.28304961900000003,3
118,12,동치미막국수,소금,0.049313354000000004,0.147940062,3
119,12,동치미막국수,쇠고기,0.17981409199999998,0.17981409199999998,1
120,12,동치미막국수,참기름,0.101288386,0.202576772,2
121,12,동치미막국수,후춧가루,0.09628486900000001,0.19256973800000002,2
122,13,열무김치냉면,겨자,0.40399284,1.2119785200000002,3
123,13,열무김치냉면,고추,0.135491679,0.135491679,1
124,13,열무김치냉면,고춧가루,0.14232736699999998,0.42698210099999995,3
125,13,열무김치냉면,냉면,0.49819055,2.49095275,5
126,13,열무김치냉면,다진마늘,0.09342583300000001,0.28027749900000004,3
127,13,열무김치냉면,다진생강,0.298483383,0.596966766,2
128,13,열무김치냉면,대파,0.13771661699999999,0.13771661699999999,1
129,13,열무김치냉면,설탕,0.088357859,0.176715718,2
130,13,열무김치냉면,식초,0.194317148,0.582951444,3
131,13,열무김치냉면,열무,0.49819055,2.49095275,5
132,13,열무김치냉면,찹쌀가루,0.373408911,0.746817822,2
133,14,채소국수,계란,0.184860971,0.184860971,1
134,14,채소국수,국수,0.451971963,2.259859815,5
135,14,채소국수,깻잎,0.311392086,0.311392086,1
136,14,채소국수,부추,0.33271915,1.3308766,4
137,14,채소국수,상추,0.347986274,0.347986274,1
138,14,채소국수,쇠고기,0.182596993,0.182596993,1
139,14,채소국수,양념장,0.540208626,1.6206258779999998,3
140,14,채소국수,오이,0.23729764600000003,0.9491905840000001,4
141,14,채소국수,표고버섯,0.22651503399999998,0.22651503399999998,1
142,15,해물국수,계란흰자,0.39605944,0.39605944,1
143,15,해물국수,국수,0.350823824,1.75411912,5
144,15,해물국수,녹말,0.238765014,0.477530028,2
145,15,해물국수,다진마늘,0.07863404,0.23590212,3
146,15,해물국수,돼지고기,0.190295634,0.190295634,1
147,15,해물국수,멸칫국물,0.452088845,1.356266535,3
148,15,해물국수,새우,0.220727575,1.103637875,5
